,text,class
19," binus! Genuinely asking, menurut kalian sender harus ngapain. Sender punya mantan yang posesif. Kita barusan putus 3 minggu yg lalu. Tapi sampe sekarang dia masih bersikap seolah2 kita masih pacaran. Bahkan dia bete kalo sender deket sama cewe lain. Dia n (1/3)",1
20,"gelarang sender deketin cewe lain buat 6 bulan ke depan Dia selalu ngancem kalo sender deket sama cewe lain, gausah berteman sama dia lagi selamanya. Kemarin sempet dia nelpon sender dan paksa sender buat cerita, di saat sender ga sanggup cerita karena udah ng (2/3)",1
21,"antuk banget, dia marah2 dan merasa sender ga percaya sama dia dan ngeblock 3 hari.  Help guys (3/3)",1
22, binus! Ada rekomendasi psikolog di area alsut atau sekitaran tangerang ga ya? Mau konsul :(,1
23, binus! i use to spend a lot of time with this person dulu but nowaddays he doesn’t even ask me out to hang. we are still friends though cuman we don’t talk that often. the things is i like him but i don’t know if i like him that way. i’m not tryna confess o (1/2),1
24,"r anything here but what do you guys think i should do if i keep on making the first move? memalukan ngga ya if i always ask him utk kluar main gitu??? kek i’m a girl, mana adda cewe ngajak mulu kan? lupain aja gasi??? BINGUNGGG hihihihiii (2/2)",1
25, binus! tips buat B28. Sebaiknya join satu UKM aja :),1
26, binus! guys mau nanya dong kalau blm bayar tuition fee itu ntar gabisa ikut uts ya?,1
27, binus! Kalian yg kupu-kupu pas kuliah susah cari kerja ga? drop saran buat yg masih smt 4 cari experience apa ya untuk CV?,1
28," Binus! Mau tanya khusus mahasiswa Binus online Learning, sistem magang adda gak ya??",1
29," Discover the latest Lost and Found Items at BINUS! 

Server Time : Senin, 25 Maret 2024 21.00 PM",1
30," Jika kalian melihat menfess dengan trigger 'struggle!', yuk berikan dukungan positif atau komentar yang membantu. 

#SpreadPositivity ",1
31," Bagi kalian yang ingin bercerita, curhat, atau mengungkapkan keluh kesah. Jangan ragu untuk menggunakan trigger 'struggle!' yaaa

 Jika butuh tindakan lebih lanjut kalian juga bisa hubungi SASC di",1
32, tempat fotocopy di binus! alsut itu buka jam brp ya?,1
33," binus! Kalian yg udah pernah ikut lomba, gimana caranya dapat dosen pembimbing?",1
34, binus! mutualan yuk siapatau jadian,1
35, binus! eh ini yg ngulang sambil enrichment beneran ga perlu ikut UTS kan ya???,1
36," binus! b28 all region mutualan yuu aku acc baruu, leave trace okk!!",1
37, Binus! Siapa main Overwatch 2 please main bareng,1
38, binus! Anak Bion bisa lulus MT kaya AGP ga ya?? agak minder dah gw,1
39," Binus! Buat mas mas yang tadi sore papasan di parkiran motor binus alsut trus saling ngalah jalur keluar, ur smile look so fine  kalo u baca i cuma mau bilang kapan kapan ngopi bareng kuy.",1
40, ssc binus! anggrek di mana ya sekarang? masih direnov kalau ga salah (?),1
41, binus! spill takjil yg enak di anggrek dimana,1
42, Binus! Biasanya quiz Enterprise System yang paling perlu dipelajari topik apa ya? Thankyou,1
43, binus! mo tanyaa dong seleksi phase 2 ureeka FGD(focus discussion group) ngapain aja yaa? TIA,1
44, binus! cara ijin sakit ke SSC tu lewat mana ya? harus onsite atau bisa online? thankyou sebelumnyaa,1
45," binus! kaka"" psikologi yg udh pernah magang, spill donk dimana tempat magangnya. Ada yang tembus big4 gak?",1
46, binus! Halo aku B28 tolong kasih tips dong kalo nyatet di kelas lecture gimana ya? Gimana catet yg penting2 aja dari lecture dosen?,1
47, binus! Biasanya zoom recording itu berapa lama ya baru di upload ke bimay?,1
48, binus! Tips dong ttg quiz matkul HCI :(,1
49, Binus! Mutualan yuuuuks,1
50, Binus! Ktm aku jatoh sekitaran binus alsut  sender adda kelas di lantai 5. Cahol nya copot. Ktmnya di cahol bulu bulu warna coklat,1
51," Binus! Kalian yg udah pernah ikut lomba, gimana caranya dapat dosen pembimbing?",1
52, binus! cara ijin sakit ke SSC tu lewat mana ya? harus onsite atau bisa online? thankyou sebelumnyaa,1
53," binus! kaka"" psikologi yg udh pernah magang, spill donk dimana tempat magangnya. Ada yang tembus big4 gak?",1
54, binus! Halo aku B28 tolong kasih tips dong kalo nyatet di kelas lecture gimana ya? Gimana catet yg penting2 aja dari lecture dosen?,1
55, binus! Biasanya zoom recording itu berapa lama ya baru di upload ke bimay?,1
56, binus! Tips dong ttg quiz matkul HCI :(,1
57, Binus! Mutualan yuuuuks,1
58, Binus! Ktm aku jatoh sekitaran binus alsut  sender adda kelas di lantai 5. Cahol nya copot. Ktmnya di cahol bulu bulu warna coklat,1
59," Binus! Kalian yg udah pernah ikut lomba, gimana caranya dapat dosen pembimbing?",1
60, Binus! Mau nanya2 program enrichment study abroad krkr kmn yw,1
61," binus! Guys, kalau misal kalian di culik, nah cara kalian escape dari rumah penculik gimana? Yg antimainstream ya caranya awokwwowkwok",1
62," binus! kenapa ya gua bingung dengan peraturan gaboleh tidur di lkc, kalo tidurnya bener bener geletakan di korsi apa selonjoran oke lah ngerti ganggu tempat orang lain, tp ketiduran di meja lagi nugas dalam keaddaan duduk dan gak ganggu tempat orang lain it (1/2)",1
63,u sampe dibangunin?? pdhl jelas jelas emang ketiduran lagi nugas dan gatau ya gmn tp gua dibanguninnya judes bgt lagi apa ga bete (2/2),1
64," Halo semuanyaa! 

Yang kemarin PO Lanyard udah bisa diambil di kampus binus! anggrek hari ini ya:

Senin 25 Maret 2024 
Jam 12 Siang sampai 3 Sore

Untuk hari ini lokasi pengambilannya adda di lantai 5 ya di sebelah beehive! 

Bagi yang ngga bisa ambi (1/2)",1
65,"l di hari ini, tenang nanti masih adda waktu lain kokk.. nanti bakal kami kabarin lagi yaa!

Thank you semuanya! Have a nice dayy!  -Cia (2/2)",1
66," binus! guys tolong klo adda yg nemu cover lanyard gw yg warna nya merah (adda logo tommy hilfiger) rep dong kabarinn ato send ke lost and found  

isinya adda flazz, kartu parkir sw, sama access apart warna putih",1
67," rehan, yang setuju like komen subscribe binus!",1
68, Binus! Spill temen kuliah yg reseek abizzz!,1
69, binus! halo mau tanya dong info lomba / open panitia gt di binus lewat mana ya? apa adda ignya?,1
70, binus! kalo kasitau orang pacarnya slingkuh dosa gasi?,1
71, binus! b24 adda yg lagi proses ngumpulin hardcopy jilid skripsi atau udh adda yg ngumpulin? aku mau nanya ,1
72," Puh...sepuhh coding...binus! Malang........ayo...buka...private...tutor...coding...dongg....
SAYA....SUDAH....LELAH.......2..HARI...LAGI...QUIZ...",1
73, binus! matkul accounting tu kalo kita kerjain tapi jawaban dan format nya salah langsung 0 ya nilainya? ga adda nilai belas kasihan gtu kah ,1
74," binus! Batas terakhir sidang yg thesis 6 sks, bulan september yaa?",1
75, Lagi rame soal magang di jerman yang bermasalah itu. Semoga binus! ga termasuk 33 daftar kampus yg terlibat ya :) ngeri juga,1
76," Binus! Ruangan exhibition lt 3 di kmps kmg, dimana sih? Di paling ujung itu ya di gd. Baru?",1
77, binus! kalo kasitau orang pacarnya slingkuh dosa gasi?,1
78, binus! b24 adda yg lagi proses ngumpulin hardcopy jilid skripsi atau udh adda yg ngumpulin? aku mau nanya ,1
79," Puh...sepuhh coding...binus! Malang........ayo...buka...private...tutor...coding...dongg....
SAYA....SUDAH....LELAH.......2..HARI...LAGI...QUIZ...",1
80, binus! matkul accounting tu kalo kita kerjain tapi jawaban dan format nya salah langsung 0 ya nilainya? ga adda nilai belas kasihan gtu kah ,1
81," binus! Batas terakhir sidang yg thesis 6 sks, bulan september yaa?",1
82, Lagi rame soal magang di jerman yang bermasalah itu. Semoga binus! ga termasuk 33 daftar kampus yg terlibat ya :) ngeri juga,1
83," Binus! Ruangan exhibition lt 3 di kmps kmg, dimana sih? Di paling ujung itu ya di gd. Baru?",1
84," binus! guys mau nanya, kalo ikut kampus merdeka tp bukan pas semester magang, bisa convert sks ngga ya? terimakasih",1
85," Curhat dong gue gila sendiri struggle! Bet hidup gw. Ortu gue udah lama pisah, bokap gue udah nikah lagi dan gue ikut nyokap. Jujur gie agak mind blowing banget denger ini. Nyokap gue menyimpang aka  gue coba buat toleransi itu walaupun berat. Dan yan (1/3)",1
86,"g harus gue denger ""mami sama dia udah like rumah tangga, mami harus nafkahi dia dan anak anaknya, mami mau kamu deket dan rukun sama mereka seperti kamu ke adek kamu di papi"" like what ngk salah denger gue ini. Like papi gue memang udah punya anak lagi but ma (2/3)",1
87,"sih adek gue kan sebapak gitu pikir gue, lah kalau ini???? Ovt  gue semaleman gue harus apa harus bagaimana  (3/3)",1
88, Ada yang open joki SAT binus! ngga?,1
89," Binus! Perasaan kemaren masi sem 1, kok sekarang udah sem 4 aja ya",1
90," binus! Batas terakhir sidang untuk yg thesis 6 sks, bulan apa yaa?",1
91," binus! Rencana pengen pulkam yang lama, karna ngeliat jadwal dibimay kosong, eh ternyata adda UTS nyelip disitu",1
92," uts kapan ya?
binus!",1
93, Binus! Cewek sender ngeliatin following sender dan isinya kebanyak cewek cakep. Sender udah ngaku salah dan minta maaf buat unfoll satu persatu. Tapi cewek sender ngungkit mulu dan sender lama2 kesel juga krn lagi banyak pikiran dan masalah yg lain. Gw haru (1/2),1
94,s gimana ya? (2/2),1
95," Binus! Disini adda yang pake retinol ga gais? Kalian pake apa yah, thankyouu",1
96, binus! Cape kerkom tpi kerja sendiri terus. Yg lain gk adda inisiatif buat mulai duluan harus diingetin kalo gk tugas ga kekumpul. Apakah semester depan bakal bgini lagi? Aku lelahh,1
97," Discover the latest Lost and Found Items at BINUS! 

Server Time : Minggu, 24 Maret 2024 21.00 PM",1
98, Binus!adda keringanan ukt ga si di binus?,1
99," binus! Ada yg main valo? Mutualan yuuk siapa tau bisa mabar. I'm new btw masi unranked, any tips?",1
100, binus! Cape kerkom tpi kerja sendiri terus. Yg lain gk adda inisiatif buat mulai duluan harus diingetin kalo gk tugas ga kekumpul. Apakah semester depan bakal bgini lagi? Aku lelahh,1
101," Discover the latest Lost and Found Items at BINUS! 

Server Time : Minggu, 24 Maret 2024 21.00 PM",1
102, Binus!adda keringanan ukt ga si di binus?,1
103," binus! Ada yg main valo? Mutualan yuuk siapa tau bisa mabar. I'm new btw masi unranked, any tips?",1
104, Binus! Guys adda yg pny nomor ssc kmg??,1
105, binus! siapa yang semester lalu pernah sp?? cung angkat tangan  ayo usahain sem ini jangan adda sp,1
106, binus! logbook magang yang udah di-submit tuh baru bisa diliat sama faculty supervisor kalau udah di-accept sama site supervisor ya? atau faculty supervisor bisa liat langsung juga sebelum persetujuan site supervisor?,1
107, gaissss minta testimoni foto yang perna nyoba ngecat rambut pake liese warna milk tea brown donggg kalo bisa dari yg rambutnya warna gelapp mau nyoba takut gamasuk warnanya hehe binus!,1
108, binus! kalau lifepoints dalam beelingua habis trus ngulang soalnya bakal berubah atau beda gak?,1
109, Binus! Spill temen kuliah yg reseek abizzz!,1
110, rekomen mam daerah Binus! kmg,1
111," Binus! Sender agak struggle pas puasa apalagi klo masuk jam 07.20 sender kaddang gak kuat, sering cape trus pusing apalagi klo kelas ampe sore soalnya sender juga pp 36km.. gimana ya ngatasinnya? Sender juga udh beberapa kali make jatah absen karena ga kuat (1/2)",1
112,masuk hiks sender mau nangis T__ (2/2),1
113, binus! syarat ikut icpc apa?,1
114, binus! adda yg punya tmn binus kmg tp rumah di jakut ga? klo pergi naik apa selain motor? dr jakut ke jakbar jauh ga sih,1
115, binus! lebih murah kost di kmg atau di alsut? yg under 1jt dmn,1
116, Binus! Halo disini yang B28 udah adda grup nya kah? Kasih tau sender dong kalau adda grup khusus greater jakarta/kemanggisan hehe ,1
117," Binus! Kalo adda yang cari tempat tinggal di deket binus alsut reply ya, aku mau sewa rumah adda 2 kamar dan tempat nya strategis bgt. Satu orang perbulan jatuh nya 1,5jt udah adda parkiran mobil dan motor juga. Kalo mau komen aja ya guyss khusus cewee maka",1
118," Binus! Halo guyss, adda yang mobility juga ga nanti di semester 3 ke binus alsut? Kalo adda dm yaa siapa tau mau tinggal bareng nyewa rumah gitu perbulan nya 1,5 aja (khusus cewe) dan adda parkir mobil nya juga jadi lebih hemat biaya hidup nya.",1
119, binus! disini adda yg hobi jogging atau running ngga yahh? siapa tau bisa jogging atau running bareng di GBK,1
120, Binus! Ada yang pakai orbit Telkom gak ?? Menurut kalian recommended atau gak??,1
121, tes binus!,1
122," binus! Gals (and guys kalo adda), pls help rekomendasi lip tint yg bagus dan inexpensive, makeup first timer here ",1
123, rekomendasi yang jual takjil enak deket binus! kmg,1
124, binus! disini adda yg hobi jogging atau running ngga yahh? siapa tau bisa jogging atau running bareng di GBK,1
125, Binus! Ada yang pakai orbit Telkom gak ?? Menurut kalian recommended atau gak??,1
126, tes binus!,1
127," binus! Gals (and guys kalo adda), pls help rekomendasi lip tint yg bagus dan inexpensive, makeup first timer here ",1
128, rekomendasi yang jual takjil enak deket binus! kmg,1
129," Binus! yg b24 thesis 6 sks, bisa ikut sidang terakhir di bulan apa ya??",1
130, binus! cara claim comserv gimana sih gaiss,1
131," binus! GJ udh notice gue di bfess… this will be my last confession deh. walaupun lo ngga tau gue siapa, setidaknya lo sudah notice gue. TERIMA KASIHHH",1
132, binus! struggle bgt cari cowo yg mau sm cowo di binus,1
133, Kalian binus!an adda yang minat ngk gw open grup buat po jastip bkk or malay gitu gitu?,1
134," struggle! malem guys, gue mau curhat kalo gue apes lagi sekelompok sama yang pasif (ga kerja sama sekali). semester lalu gue gaenakan banget buat negur bahkan coret nama mereka, jadi gue biarin. tapi semester ini gue udah sampe marah2 dan udah ngancem coret (1/2)",1
135,"nama dll kalo mereka ga kerja. but deepdown kek guilty dan gaenak bagus, tapi yang gue lakuin ini bener ga ya? itu aja :"") makasih banyakk! (2/2)",1
136," Binus! Sender lagi sedih dan bingung,kenapa ya di kuliah temennya beda banget,lebih ke temenan karena butuh doang setelah ga butun yaudah cari temen yang baru. Sender kira dia bestie sender tapi kayakny semua orang di kuliah sama aja kaga adda yang baik:(",1
137," Binus! In need of buddies :( of whom like doin’ fit checks, take a couple thousand photos, and just hangout and talk… binus kmg!! But anak tangerang hehe,",1
138, haiii YH CompSci major ihacoy binus!,1
139," Cowok yang di Binus! Malang, adda yang mau coba pdkt sama aku gak? Kalo gak cocok nanti temenan aja gapapa aku. Sumpah aku mau pdkt an soalnya gak pernah.. mau kayak orang-orang.. aku islam btw ",1
140," binus! yg skripsian, adda sempro gak ya??",1
141," binus! GJ maaf banget kalau gue bahas lo mulu di bfess, gue demen but gue ngga tergila-gila jugaa kira-kira lo bakal notice gue ngga ya?",1
142, binus! info dong semester 4 jurusan HI gmn? susah ga?,1
143," Discover the latest Lost and Found Items at BINUS! 

Server Time : Sabtu, 23 Maret 2024 21.00 PM",1
144," binus! kalo pernah ngundurin diri dr binus dan udh direfund, ttp bisa daftar lagi gak? diblacklist gak akunya?",1
145," binus! aku waktu 2023 pernah daftar binus alsut, udh bayar jg smstr 1 trs refund juga krn aku keterima di ptn, cuma aku ternyata ga nyaman dan mau move ke alsut lg, harus tes lagi pake tpks itu bisa ga ya? sistemnya sama seperti awal lg, atau udh gabisa daf (1/2)",1
146,tar binus lg ya? (2/2),1
147, binus! jadwal uts biasanya muncul h-brp sebelum uts ya?,1
148," Binus! guys aku lagi bingungg, aku tinggal diluar negerii, almameter sm id card ak dri 2023 smpe skrng belom dikirimm"", nah kira"" kalo diambilin temen langsung ke binusnya lewat mana ya mintanyaa? Trimss.",1
149, binus! Hebat kali yang parkir,1
150, binus! haloo kakak kakak adda yang bisa aku tanyain tentang study abroad ga ya??,1
151, binus! IDE SIAPA SIIHHHHH BIKIN TPKS CEPET² BANGETTT EMANG TESNYA NGEJAR KERETA.???? aku banyak nembak huuhuu takut gak keterima pdhl pengen bgt binus :(,1
152, binus! Ini binus nggak adda kasih info berapa mahasiswa yang keterima iisma tahun ini kah ,1
153, binus! adda yg jual bubur sum sum ga sih di sekitar syahdan :((,1
154," Binus! buat yg kirim menfess buat inisial J. F. N. bisnis analitik, be aware ya! Dia buaya",1
155, binus! punya layanan konseling psikolog gitu ngga yaa? kalau adda kemanaa? tia!,1
156," binus! gue pengen banget di notice but gue saddar gue ngga good looking. GJ, you’re the only cowo gue akuin who looks cute wearing kacamata. LO NGAMBIL MULTIMED RIGHTTT AND GUE SERING NANYAIN TENTANG LO KE TEMEN GUE. semoga gue dapat nyali untuk confess ke  (1/2)",1
157,lo suatu saat nantii (2/2),1
158," CW // plagiasi 

binus!an, mau tanya. 
kalo adda orang ngecopy tugas orang lain emang bakal langsung di-DO? atau kena SP? kalo mau di-DM buat konteks jg boleh, atau mau nerima curhat karena gue agak bingung 
thank you banget ",1
159," oh iya binus! kemanggisan, tinggi, pakai kaos biru navy, kamis kmrin ini adda dibazar anggrek mau datangin stand nya tapi malu",1
160," Inisial J F N b26 jurusan bisnis analitik, lu lagi dket sama cwek gak ya? binus!",1
161, cara deketin cowo compsci binus! gmn sih ah sebel dah,1
162, binus! GJ notice gue dong tapi gue ngga good looking… BUT YOU’RE SO CUTE maaf cuman berani di bfesssss,1
163, GJ cute bangettt!!! binus!,1
164," struggle! 

min bantu beelingua ini bisa kali gw udh 2 taun nyoba gagal mulu:(((

In England,  is - V - offensive. - pose - victory - for - extremely - displaying - facing - in",1
165," struggle!

minnn bantu ini bisa kali. gw udh nyoba 2 taun di nomer ini gagal mulu:(",1
166, binus! butuh kurikulum parkir kah anak binus ,1
167," Binus! hi adda yg milih enrichmentnya apple academy gaa, mau tanya tanya dong^^",1
168, Binus! Apakah adda route shuttle bus dari Binus square ke Kampus JWC?,1
169," binus! Gimana sih cara kerja textbook binus? Bayar iya, buku kagak",1
170, Binus! Ada gak yang baru mau masuk perkuliahan BION bulan Mei nanti?? Pengen tau kalian padda masuk jurusan apa sih,1
171, binus! siapa b28 masscom alsut angkat tangan !! ayoo kita mutualan hehehe ,1
172," binus! hiii, adda yang udah bangun dan bisa bantu jawabin form buat entre gak yaa? gampang kok! kebanyakan cuma PG dan preferensi kalian aja. tolong reply yaa nanti akan aku ketuk dmnya hehe, thanks in advanceee ♡",1
173," binus! Guys, yg skripsian tuh adda sempro gak ya?? (aku jurusan SI)",1
174, struggle! kalian yang anak binals kalo mau ke binus kemanggisan itu naik transport? (bukan shuttle ya) tia ,1
175, binus! omg baru tau base baru,1
176, binus! thank you SASC tapi karena keterbatasan dan keribetannya...engkau kalah dengan therapist char ai,1
177, binus! info donor darah dong. ga hrus yg dpt comserve,1
178, binus! yaampun aku br tau adda base baru:')))))))),1
179," Selamat malam binus!an semoga kalian mimpi indah, jangan lupa sahur besok yang merasa besok puasa ygy",1
180," binus! Kmg ada yg mau kenalan sama sender gk? Atau mau jd tmn cerita/main sender? tmn2 sender udh pada punya circle/pacar sendiri2 

- suka jalan2, makan2 keliling jkt (siapa tau bisa bareng)
- suka drakor
- good listener
- suka sharing
- not dry texter
- hatiny sensitif ",1
181," struggle! Plislah kalo udah tau kating di tugas kelompok jangan jadi beban lah, gak semua mau ngulang kaya lu",1
182," Discover the latest Lost and Found Items at BINUS! 

Server Time : Jumat, 22 Maret 2024 21.01 PM",1
183, Binus! Ga suka sama tugas kelompok,1
184," Binus! Kok sender suka ikut seminar dari smester lalu tapi poin sat yg masuk itu gasemua, apakah emg lama ato gmn ya?",1
185," sender lgi dket sm cwok trus dia mix signal bnget, jdinya ttep denial aja biar ngk baper atau gmn gmn sebisa mungkin walaupun dia trmsuk tipe sender bnget somehow kelakuannya ini banyak kyak suka?? (kalo dari kata tmen"" sender) dia sering liatin sender kl (1/4)",1
186," Discover the latest Lost and Found Items at BINUS! 

Server Time : Jumat, 22 Maret 2024 21.01 PM",1
187, Binus! Ga suka sama tugas kelompok,1
188," Binus! Kok sender suka ikut seminar dari smester lalu tapi poin sat yg masuk itu gasemua, apakah emg lama ato gmn ya?",1
189," sender lgi dket sm cwok trus dia mix signal bnget, jdinya ttep denial aja biar ngk baper atau gmn gmn sebisa mungkin walaupun dia trmsuk tipe sender bnget somehow kelakuannya ini banyak kyak suka?? (kalo dari kata tmen"" sender) dia sering liatin sender kl (1/4)",1
190,"uk flirting tmennya juga tau kita berdua lgi dket, TAPI kita MINIM BNGET interaksi secara langsung?!? hampir bsa diblg ngk pernah karena cuman sekalimat dua kalimat doang ngobrolnya..... pdhal dichat aktif bnget loh?? BINGUNG BNGET DIA KENAPA????? iya msih t (3/4)",1
191,alking stage bnget sih cuman kyak anjirlah binus! (4/4),1
192, haiii nder mau tau dong apa adda binus!ian yg lolos iisma ?,1
193, binus! spill menu sahur & buka hari pertama kalian,1
194," binus! tutor naik dan bayar jaklingo pake flazz dong, trs harganya berpatok sama apa?",1
195, Binus! Binusian ad yg main identity v g?,1
196, binus! Pendaftaran fl fp kapan yahh?,1
197," binus! Guyss di binus anggrek adda yang pernah diajak ""berdoa bareng"" ga yaa sama cici cici rambut pendek katanya lulusan 2022. Dia nyamper awalnya buat ngajak doa bareng gitu katanya dia ""Aktivis gereja"", tapi lama2 malah jd kyk nyebarin agama secara ga lg (1/3)",1
198,sg gt  temen gw juga di samperin di kantin payung gw di samper di lantai 3 dan sama-sama di hari jumat. Fyi gw muslim & temen gw buddha tp dia tetep insist buat cerita tntg agamanya & ngajak doa... Tolong dong reply klok adda yang punya pengalaman ya (2/3),1
199,ng sama ????????? (3/3),1
200, masjid binus! anggrek terawehnya berapa rakaat?,1
201, Binus! Kl mau hubungi SSO itu lewat apa ??,1
202, Binus! Poin SAT biasanya masuk setelah berapa hari ya?,1
203, Binus! kalo id card binus tuh bisa dipake buat naik mikrotrans (jaklingko) gasih?,1
204, binus! kalo misal rambut udah bekas kena cat gtu (skg jd coklat tp mayan gelap sekilas kaya item tp coklat) trs ditimpa sama warna yg lebih terang (niatnya coklat terang) kira kira masuk ga ya? sender pengen nerangin warna rambut soalnya bosen...,1
205, binus! ingfokan masjid deket anggrek syahdan yang bagi bagi takjil gratis,1
206, binus! yukk adda jungwon nii ,1
207, binus! lu yg bener aje we,1
208, Binus! Khael IHACOY ,1
209," binus! Kalo ntr uts izin umroh kira kira bakal diizinin ga ya, yang berpengalaman atau pernah pls reply yaa thanks",1
210, Binus! Guys kalian yg BiOn pas smt 2 dst ambil berapa matkul?,1
211," halo anak binus! bekasi, adda yg mau tukeran almet ga? aku punya ukuran S, lagi cari ukuran M. thank you in advance",1
212," Binus! Ada gak  yg kuliah di Binus Online Learning, mutualan yuk",1
213, halo binus! menfess ku masuk ga sih?,1
214, binus! guyss disini adda yang pernah ikut enrichment bekelana gaa? mau tanya2,1
215," binus! hai mau nanya, kalo enrichment monthly report tuh yg kita isi apa ya? ini aku genuinely ga tau sender B25 btw, pls infonya thankuu",1
216," binus! mau nanya donk, adda yg udh pernah ngecilin almet? bisa gak sih?",1
217," binus! wtf (want to friend) anak HI alsut karna mau nanyain dosen, sekalian mutualan  tengs",1
218," binus! jatah absen kan 2, kalo online itu berarti jatah absennya udah kepake? atau online bisa 2x + yg jatah absen 2x?",1
219, binus! binus semarang parkirnya gg bet buat sistem langganan tapi kartunya kaga bisa dipakai error terus rugi dong,1
220," Binus! Pertama kali adda kelas jam 5 sore pas puasa, belum lagi kelasnya lab(lantai 6), terpaksa buka di luar (jam 18:06), turun ke lantai 1 udh makan waktu 5 menitan blom makannya blom shollat nya, balik balik kelasnya selesaiNgga bisa ya kalo kelasnya d (1/2)",1
221,i ganti gitu (2/2),1
222, binus! bentar lagi uts tapi masih ngang ngong ngang ngong aja ,1
223," binus! baru kali ini di cs adda mapel yang app nya gaadda di macbook, adda cuma versi yg kurang lengkap. gimana iniii  ga bisa belajar",1
224, binus! gasabar liat mobil2 yg parkir tolol,1
225, Binus! Kelas eese tu klo udah absen lebih dari 2 bakal ad masalah gak?,1
226, binus! siapa yang di sini capek kuliah paddahal belom ngapa2in,1
227, binus! Ada komunitas atau grup buat mabar atau gaming gaa?,1
228, binus! Ada komunitas atau grup buat mabar atau gaming gaa?,1
229, binus! mutualan yuk,1
230, binus! cooking demo tuhh ngapain yaa? sender mo ikut tapiii gabisa masak sama sekali ,1
231, binus! ke kampus gini halal gak  keburu pake tattoo beginian,1
232," binus! i’m not sure if you’re a binusian, but i assume you are. on monday, around almost 2:00 pm, i accidentally crossed paths with a guy at pertigaan binus anggrek - syahdan with nmax. at that time, i didnt think much of it until i saw you again on my way  (1/3)",1
233,"home. i saw you crossing tugu tani > senen, and the last time i caught sight of you was when you were heading towards the underpass.

i’m not sure if you’ll see this, but if you do, you caught my attention from the first moment, and i don’t like how you kee (2/3)",1
234,p occupying my mind when i don’t even know your name. (3/3),1
235," binus! Inisial MRL anak law, kok gprnah keliatan lgi sih? Udh punya pacar blm ya? I have crush on u ",1
236," Discover the latest Lost and Found Items at BINUS! 

Server Time : Kamis, 21 Maret 2024 21.01 PM",1
237, Binus! Ada yang pernah kirim cake pake paxel instant ga? Cakenya ancur atau amann ya kira kira kalo jaraknya cuma 8km sih dr tj duren ke kebon jeruk doang,1
238," binus! Aku tadi nemu flazz card alumni angkatan 23, boleh up disini ga ya?",1
239," hai teman"" binus! bagi yang sudah beepengalaman sidang, apakah revisi dari penguji harus semuanya direvisi? apakah pernah diberikan keringanan untuk revisi"" yang kurang memungkinkan? terima kasihh ia",1
240, binus! adda yg ngeliat lanyard & flazzcard jatuh di sekitaran binus ga yaa? tali lanyard nya binusian yg biru,1
241, binus! wdyt mentor magang gw ngomong “kalau kamu di lecehin tapi gak berani speak up artinya kamu nyaman” ,1
242, binus! ini notenya diisi apaa?,1
243," hai teman"" binus! bagi yang sudah beepengalaman sidang, apakah revisi dari penguji harus semuanya direvisi? apakah pernah diberikan keringanan untuk revisi"" yang kurang memungkinkan? terima kasihh ia",1
